ticker,year_month,period_end,open,high,low,close,r3,s3,pct_range_r3,error
AADHARHFC.NS,2025-11,2025-11-01,511.0,520.0,480.0,481.0,492.0,470.0,4.68,
SOLARINDS.NS,2025-11,2025-11-01,13840.0,14245.0,13138.0,13272.0,13576.0,12968.0,4.69,
BAJAJFINSV.NS,2025-11,2025-11-01,2086.0,2127.0,1952.0,2094.0,2142.0,2046.0,4.69,
PAGEIND.NS,2025-11,2025-11-01,41300.0,41300.0,38100.0,38320.0,39200.0,37440.0,4.7,
BATAINDIA.NS,2025-11,2025-11-01,1071.0,1081.0,996.0,999.0,1022.0,976.0,4.71,
TATAPOWER.NS,2025-11,2025-11-01,404.0,410.0,379.0,390.0,399.0,381.0,4.72,
RAMCOCEM.NS,2025-11,2025-11-01,1049.0,1054.0,966.0,1038.0,1062.0,1014.0,4.73,
POLICYBZR.NS,2025-11,2025-11-01,1768.0,1866.0,1715.0,1819.0,1861.0,1777.0,4.73,
KEI.NS,2025-11,2025-11-01,4001.0,4206.0,3857.0,4146.0,4242.0,4050.0,4.74,
DABUR.NS,2025-11,2025-11-01,488.0,530.0,486.0,517.0,529.0,505.0,4.75,
IRB.NS,2025-11,2025-11-01,45.0,46.0,42.0,43.0,44.0,42.0,4.76,
APOLLOTYRE.NS,2025-11,2025-11-01,500.0,540.0,498.0,514.0,526.0,502.0,4.78,
GRANULES.NS,2025-11,2025-11-01,566.0,578.0,530.0,556.0,569.0,543.0,4.79,
LODHA.NS,2025-11,2025-11-01,1200.0,1244.0,1145.0,1148.0,1175.0,1121.0,4.82,
AMBUJACEM.NS,2025-11,2025-11-01,568.0,589.0,542.0,550.0,563.0,537.0,4.84,
INFY.NS,2025-11,2025-11-01,1482.0,1585.0,1449.0,1560.0,1597.0,1523.0,4.86,
BHARTIARTL.NS,2025-11,2025-11-01,2055.0,2174.0,1992.0,2102.0,2152.0,2052.0,4.87,
NUVAMA.NS,2025-11,2025-11-01,7124.0,7574.0,6925.0,7462.0,7640.0,7284.0,4.89,
AKZOINDIA.NS,2025-11,2025-11-01,3270.0,3446.0,3157.0,3311.0,3390.0,3232.0,4.89,
ZFCVINDIA.NS,2025-11,2025-11-01,12424.0,13450.0,12302.0,13204.0,13520.0,12888.0,4.9,
EICHERMOT.NS,2025-11,2025-11-01,7030.0,7284.0,6670.0,7054.0,7223.0,6885.0,4.91,
HINDPETRO.NS,2025-11,2025-11-01,482.0,494.0,453.0,458.0,469.0,447.0,4.92,
NAVINFLUOR.NS,2025-11,2025-11-01,5700.0,6168.0,5667.0,5736.0,5874.0,5598.0,4.93,
VIJAYA.NS,2025-11,2025-11-01,991.0,1065.0,976.0,998.0,1022.0,974.0,4.93,
EIHOTEL.NS,2025-11,2025-11-01,390.0,405.0,371.0,374.0,383.0,365.0,4.93,
TRITURBINE.NS,2025-11,2025-11-01,535.0,560.0,513.0,537.0,550.0,524.0,4.96,
GSPL.NS,2025-11,2025-11-01,309.0,312.0,287.0,288.0,295.0,281.0,4.98,
GRASIM.NS,2025-11,2025-11-01,2896.0,2920.0,2676.0,2739.0,2806.0,2672.0,5.01,
RAINBOW.NS,2025-11,2025-11-01,1375.0,1400.0,1279.0,1351.0,1384.0,1318.0,5.01,
JINDALSAW.NS,2025-11,2025-11-01,175.0,176.0,160.0,163.0,167.0,159.0,5.03,
MANAPPURAM.NS,2025-11,2025-11-01,269.0,292.0,265.0,285.0,292.0,278.0,5.04,
RVNL.NS,2025-11,2025-11-01,328.0,336.0,308.0,324.0,332.0,316.0,5.06,
MANYAVAR.NS,2025-11,2025-11-01,647.0,655.0,599.0,608.0,623.0,593.0,5.06,
DIVISLAB.NS,2025-11,2025-11-01,6738.0,6904.0,6322.0,6477.0,6637.0,6317.0,5.07,
VENTIVE.NS,2025-11,2025-11-01,745.0,765.0,699.0,728.0,746.0,710.0,5.07,
UBL.NS,2025-11,2025-11-01,1797.0,1828.0,1677.0,1691.0,1733.0,1649.0,5.09,
IRCON.NS,2025-11,2025-11-01,170.0,172.0,159.0,161.0,165.0,157.0,5.1,
JINDALSTEL.NS,2025-11,2025-11-01,1066.0,1098.0,1002.0,1044.0,1070.0,1018.0,5.11,
VBL.NS,2025-11,2025-11-01,470.0,487.0,442.0,482.0,494.0,470.0,5.11,
POONAWALLA.NS,2025-11,2025-11-01,479.0,494.0,452.0,480.0,492.0,468.0,5.13,
SUNPHARMA.NS,2025-11,2025-11-01,1688.0,1833.0,1667.0,1832.0,1878.0,1786.0,5.15,
TRIVENI.NS,2025-11,2025-11-01,357.0,379.0,348.0,356.0,365.0,347.0,5.19,
BRITANNIA.NS,2025-11,2025-11-01,5834.0,6262.0,5723.0,5846.0,5994.0,5698.0,5.19,
FINCABLES.NS,2025-11,2025-11-01,787.0,811.0,742.0,749.0,768.0,730.0,5.21,
KPITTECH.NS,2025-11,2025-11-01,1167.0,1252.0,1141.0,1222.0,1253.0,1191.0,5.21,
SONACOMS.NS,2025-11,2025-11-01,473.0,521.0,473.0,512.0,525.0,499.0,5.21,
CONCORDBIO.NS,2025-11,2025-11-01,1444.0,1513.0,1383.0,1418.0,1454.0,1382.0,5.21,
CONCOR.NS,2025-11,2025-11-01,546.0,553.0,507.0,511.0,524.0,498.0,5.22,
PNBHOUSING.NS,2025-11,2025-11-01,929.0,953.0,868.0,905.0,928.0,882.0,5.22,
LALPATHLAB.NS,2025-11,2025-11-01,3155.0,3309.0,3024.0,3052.0,3130.0,2974.0,5.25,
IOB.NS,2025-11,2025-11-01,40.0,41.0,38.0,39.0,40.0,38.0,5.26,
NBCC.NS,2025-11,2025-11-01,117.0,120.0,108.0,117.0,120.0,114.0,5.26,
